大区,省份,城市,VE-I代码,4S销售服务店名称,公司地址,销售热线,排班规避时间,执行日期,进店模式,检核员A姓名,
东北大区,内蒙古,呼和浩特,DNM021,内蒙古燕达汽车销售服务有限公司,内蒙古呼和浩特市新城区兴安北路威风汽车城南200米,0471-3983000,无限制,11月3日,单人,吴泽,
华北大区,山西,长治市,NJN017,长治市汇众汇达汽车销售服务有限公司,长治市解放西街,0355-6013666,无限制,11月1日,单人,刘伟丽,
华北大区,山西,大同市,NJN018,山西中盛瑞达贸易有限公司,大同市经济开发区湖滨大街31号,0352-6209666,无限制,11月3日,多人,杨晓宇,
华北大区,山西,晋城市,NJN020,晋城市长淮汽车销售服务有限公司,晋城市开发区中原东街2518号,0356-21271550356-2127166,无限制,11月2日,双人,刘伟丽,
华北大区,山西,太原市,NJN016,山西汇众汇达汽车销售服务有限公司,太原市万柏林区晋祠路110号,0351-2301111,无限制,11月1日,AB合成,梁建宏,
华北大区,天津,天津市,NTJ009,天津市骏达汽车销售服务有限公司,天津空港经济区汽车园中路24号,022-84841515,无限制,11月17日,双人,骆炜,
华北大区,天津,天津市,NTJ014,天津市中乒北骏汽车销售有限公司,天津市南开区咸阳路74号（长江道与咸阳路交口）,022-27646666,无限制,11月16日,AB合成,段红跃,
华北大区,天津,天津市,NTJ015,天津骏雅汽车销售服务有限公司,天津市河西区解放南路613号（环渤海汽车城内）,022-58188858,无限制,11月16日,双人,骆炜,
华北大区,天津,天津市,NTJ016,天津骏仁达汽车销售有限公司,天津开发区第四大街59号,022-66193000/022-66193380,无限制,11月17日,AB合成,段红跃,
华北大区,河北,保定市,NJI031,保定市威达汽车销售服务有限公司,保定市七一东路民营科技园区2456号中冀汽贸一汽马自达专营店,0312-5999055,无限制,11月6日,单人,骆炜,
华北大区,河北,沧州市,NJI032,沧州冀东赫峰汽车销售服务有限公司,沧州市开发区石港路29号,0317-5679777,无限制,11月3日,单人,段红跃,
华北大区,河北,承德市,NJI033,承德庞大赫峰汽车销售服务有限公司,承德市双桥区大石庙镇太平庄二化厂东南汽车城,0314-2281222,无限制,11月9日,单人,段红跃,
华北大区,河北,邯郸市,NJI038,邯郸庞大赫峰汽车销售服务有限公司,邯郸市开发区世纪大街北段西侧庞大汽车园区,0310-8176777,无限制,11月8日,单人,段红跃,
华北大区,河北,衡水市,NJI034,衡水庞大赫峰汽车销售服务有限公司,衡水武邑县南郭庄村北（开发区威武大街西040省道北）,0318-5899888,无限制,11月15日,单人,段红跃,
华北大区,河北,廊坊市,NJI036,廊坊庞大赫峰汽车销售服务有限公司,廊坊市开发区金源道100号,0316-5913777,无限制,11月16日,单人,段红跃,
华北大区,河北,秦皇岛市,NJI037,秦皇岛庞大赫峰汽车销售服务有限公司,秦皇岛市经济技术开发区峨眉山路以西,0335-8550777,无限制,11月14日,单人,段红跃,
华北大区,河北,石家庄市,NJI039,石家庄庞大赫峰汽车销售服务有限公司,石家庄市裕华区石栾路35号,0311-89862666,无限制,11月2日,双人,骆炜,
华北大区,河北,石家庄市,NJI023,石家庄市冀东汽车贸易有限公司,石家庄市西二环与新华路交叉口,0311-83661777,无限制,11月2日,双人,骆炜,
华北大区,河北,唐山市,NJI025,唐山冀东赫峰汽车销售服务有限公司,唐山市开平区开越路汽车工业园区,0315-3374777,无限制,11月13日,单人,段红跃,
华北大区,河北,邢台市,NJI040,邢台庞大赫峰汽车销售服务有限公司,河北省邢台市任县经济开发区汽车园区,0319-5030111,无限制,11月7日,单人,骆炜,
华北大区,河北,张家口市,NJI035,张家口庞大赫峰汽车销售服务有限公司,张家口市宣化县沙岭子镇太师湾村庞大汽贸院内,0313-5970777,无限制,11月10日,单人,骆炜,
华北大区,北京,北京市,NBJ093,北京博瑞翔达汽车销售服务有限公司,北京市朝阳区花虎沟2号34幢一层局部,010-62387998,无限制,11月6日,双人,盛玉龙,
华北大区,北京,北京市,NBJ073,北京首汽腾达汽车销售服务有限公司,北京市丰台区莲花池西里11号,010-63939986,无限制,11月3日,多人,王秋盛,
华北大区,北京,北京市,NBJ076,北京华日通汽车销售服务有限公司,北京市海淀区杏石口路15号平房,010-88438055,无限制,11月1日,单人,盛玉龙,
华北大区,北京,北京市,NBJ077,北京一汽轿车销售服务有限公司,北京市丰台区南四环中路20号,010-87813330,无限制,11月3日,多人,王秋盛,
华北大区,北京,北京市,NBJ087,北京东仁隆达汽车销售服务有限公司,北京市朝阳区姚家园路东口甲1号北京东方基业国际汽车城市场I区19号,010-51193339,无限制,11月2日,双人,苑举文,
华北大区,北京,北京市,NBJ089,北京车豪汽车有限公司,北京市朝阳区朝阳北路45号,010-65759828,无限制,11月2日,双人,苑举文,
华北大区,北京,北京市,NBJ090,北京宏源亚兴汽车贸易有限公司,北京市顺义区京密路后沙峪段3号,010-80497332,无限制,11月7日,双人,盛玉龙,
华北大区,北京,北京市,NBJ094,北京天一恒远汽车销售服务有限责任公司,北京市石景山区古城大街（特钢公司厂内）北京国际汽车贸易服务园区A区62号,010-68848886    010-68871116,无限制,11月1日,单人,苑举文,
华东二区,江西,赣州市,CJX015,赣州金马汽车销售服务有限公司,赣州经济技术开发区金潭大道西侧,0797-8082666,无限制,11月8日,单人,杨爱平,
华东二区,江西,南昌市,CJX012,江西戎马汽车发展有限公司,江西省南昌市新建县望城新区新兴西大道69号,0791-83721666,无限制,11月6日,单人,杨爱平,
华东二区,江西,南昌市,CJX014,江西省亚泰汽车贸易有限公司,南昌市洪都北大道1218号,0791-88639900,无限制,11月6日,单人,杨爱平,
华东二区,江西,上饶市,CJX017,上饶戎马汽车销售服务有限公司,江西省上饶市三清山西大道39号附2(月亮湾汽车城对面）,0793/8666366,无限制,11月7日,单人,杨爱平,
华南大区,海南,海口市,SQI001,海南优之杰汽车有限公司,海口市滨海大道129号,0898-68666333,无限制,11月9日,双人,孙龙,
华南大区,海南,三亚市,SQI002,三亚优之杰汽车服务有限公司,三亚市迎宾路449号,0898-88657968,无限制,11月7日,双人,李连锋,
华南大区,福建,福州市,SFJ017,福建太元马自达汽车销售服务有限公司,福州市仓山区科技园高仕路1号（福州高速交警大楼对面）,0591-63198888,无限制,11月6日,双人,郑伟强,
华南大区,福建,晋江市,SFJ018,晋江成达汽车销售服务有限公司,晋江市罗山街道缺塘社区汽车市场二期A区,0595—88156666,无限制,11月2日,单人,郑伟强,
华南大区,福建,泉州市,SFJ014,泉州鑫达汽车销售服务有限公司,泉州市惠安县福厦公路边洛阳桥闸工业区,0595-87499999,无限制,11月2日,单人,郑伟强,
华南大区,福建,三明市,SFJ019,三明鹭翔汽车销售服务有限公司,三明市梅列区陈大镇德安工业区18号 ,8366688,无限制,11月6日,单人,郑伟强,
华南大区,福建,厦门市,SFJ021,厦门吉顺丰汽车贸易有限公司,厦门市湖里区枋钟路1743号,0592-5736288,无限制,11月1日,单人,郑伟强,
华南大区,广西,百色市,SGX010,百色方泰汽车销售服务有限公司,广西百色市右江区大旺路百色汽车城,0776-2222693,无限制,11月1日,单人,庞小凤,
